cycle_id,agent,phase,tokens_in,tokens_out,via_memory,timestamp
cycle-001,memory_keeper,phase_0,1250,280,true,2026-09-06T13:45:00+05:30
cycle-001,pm_architect,phase_1,2100,1650,true,2026-09-06T13:46:00+05:30
cycle-001,uiux_engineer,phase_2,2800,2100,true,2026-09-06T13:57:00+05:30
cycle-001,qa_sec_auditor,phase_3,1900,1400,true,2026-09-06T13:58:00+05:30
cycle-001,devops_techwriter_memorykeeper,phase_4,1600,1200,true,2026-09-06T14:00:00+05:30
cycle-002,memory_keeper,phase_0,1100,260,true,2026-09-06T14:15:00+05:30
cycle-002,pm_architect,phase_1,2050,1500,true,2026-09-06T14:18:00+05:30
cycle-002,uiux_engineer,phase_2,3400,2700,true,2026-09-06T14:23:00+05:30
cycle-002,qa_sec_auditor,phase_3,1800,1200,true,2026-09-06T14:24:00+05:30
cycle-002,techwriter_memorykeeper,phase_4,1500,1100,true,2026-09-06T14:27:00+05:30
cycle-003,memory_keeper,phase_0,1200,300,true,2026-09-06T14:45:00+05:30
cycle-003,pm_architect,phase_1,2200,1600,true,2026-09-06T14:46:00+05:30
cycle-003,uiux_engineer,phase_2,3600,2800,true,2026-09-06T14:54:00+05:30
cycle-003,qa_sec_auditor,phase_3,1900,1300,true,2026-09-06T14:56:00+05:30
cycle-003,techwriter_memorykeeper,phase_4,1600,1200,true,2026-09-06T17:10:00+05:30
cycle-004,memory_keeper,phase_0,1250,290,true,2026-09-06T17:45:00+05:30
cycle-004,pm_architect,phase_1,2150,1550,true,2026-09-06T17:51:00+05:30
cycle-004,uiux_engineer,phase_2,3800,2950,true,2026-09-06T18:16:00+05:30
cycle-004,qa_sec_auditor,phase_3,1950,1350,true,2026-09-06T18:31:00+05:30
cycle-004,techwriter_memorykeeper,phase_4,1650,1250,true,2026-09-06T18:33:00+05:30
cycle-005,memory_keeper,phase_0,1150,280,true,2026-09-06T18:36:00+05:30
cycle-005,pm_architect,phase_1,2250,1620,true,2026-09-06T18:38:00+05:30
cycle-005,uiux_engineer,phase_2,3900,3100,true,2026-09-06T18:47:00+05:30
cycle-005,qa_sec_auditor,phase_3,2050,1400,true,2026-09-06T19:02:00+05:30
cycle-005,techwriter_memorykeeper,phase_4,1700,1280,true,2026-09-06T19:07:00+05:30


